 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   0.68100 ,     0.256326065047264E+01 ,    -0.551532695163500E+01 ,     0.138659790986966E+00 ,     0.257479140199803E+01 ,     0.421109797972601E+01 ,     0.936956922546661E+00 , 
   0.70100 ,     0.242012143034366E+01 ,    -0.626575631880591E+01 ,     0.253048480154332E+00 ,     0.243380914399479E+01 ,     0.459453676612887E+01 ,     0.971984662121627E+00 , 
   0.72100 ,     0.156189290193423E+01 ,    -0.642064053488972E+01 ,     0.343990589194414E+00 ,     0.157653449970361E+01 ,     0.453903154589052E+01 ,     0.753413892262728E+00 , 
   0.74100 ,     0.967700591848367E-01 ,    -0.598283950884186E+01 ,     0.405983815273561E+00 ,     0.111224894047314E+00 ,     0.406915650701063E+01 ,     0.313037824872067E+00 , 
   0.76100 ,    -0.181468822664950E+01 ,    -0.500664231498734E+01 ,     0.435860191771453E+00 ,    -0.180139876800329E+01 ,     0.324485082928242E+01 ,    -0.298320002309804E+00 , 
   0.78100 ,    -0.397598936693203E+01 ,    -0.359205594393476E+01 ,     0.432869890871430E+00 ,    -0.396460606650684E+01 ,     0.215480634681485E+01 ,    -0.101617456178129E+01 , 
   0.80100 ,    -0.617379336288279E+01 ,    -0.187540606331694E+01 ,     0.398588485080898E+00 ,    -0.616477200364515E+01 ,     0.907676644898487E+00 ,    -0.176875760471413E+01 , 
   0.82100 ,    -0.819789443306505E+01 ,    -0.170626513133326E-01 ,     0.336666158434956E+00 ,    -0.819138913809351E+01 ,    -0.378081980687128E+00 ,    -0.248381021107523E+01 , 
   0.84100 ,    -0.986031059432299E+01 ,     0.181267367979729E+01 ,     0.252448390124484E+00 ,    -0.985618664473574E+01 ,    -0.158484096587560E+01 ,    -0.309517732033590E+01 , 
   0.86100 ,    -0.110118224808246E+02 ,     0.344834906739839E+01 ,     0.152505713117788E+00 ,    -0.110096949821131E+02 ,    -0.260599435431896E+01 ,    -0.354862820138957E+01 , 
   0.88100 ,    -0.115545715976091E+02 ,     0.474357618480551E+01 ,     0.441146986479775E-01 ,    -0.115538642818727E+02 ,    -0.335487570465373E+01 ,    -0.380641201327772E+01 , 
   0.90100 ,    -0.114497106942704E+02 ,     0.558352705536352E+01 ,    -0.652669295781070E-01 ,    -0.114497277403342E+02 ,    -0.377168663171991E+01 ,    -0.385018314582366E+01 , 
   0.92100 ,    -0.107195591256840E+02 ,     0.589467494888834E+01 ,    -0.168491115994341E+00 ,    -0.107195622347288E+02 ,    -0.382791334656097E+01 ,    -0.368208503367518E+01 , 
   0.94100 ,    -0.944421214821531E+01 ,     0.565098881175204E+01 ,    -0.259142578613774E+00 ,    -0.944349523801288E+01 ,    -0.352793223962589E+01 ,    -0.332394953337437E+01 , 
   0.96100 ,    -0.775304112788927E+01 ,     0.487607498552731E+01 ,    -0.331869453874642E+00 ,    -0.775099584019494E+01 ,    -0.290774863677062E+01 ,    -0.281473672928638E+01 , 
   0.98100 ,    -0.581195935508560E+01 ,     0.364109298150818E+01 ,    -0.382607331242856E+00 ,    -0.580812598194559E+01 ,    -0.203105383236765E+01 ,    -0.220649256167389E+01 , 
   1.00100 ,    -0.380767864582217E+01 ,     0.205861827460729E+01 ,    -0.408693742166166E+00 ,    -0.380177889829716E+01 ,    -0.983004558855382E+00 ,    -0.155922596498546E+01 , 
   1.02100 ,    -0.193041667474968E+01 ,     0.272957697711867E+00 ,    -0.408880882939890E+00 ,    -0.192236674082540E+01 ,     0.137691303415433E+00 ,    -0.935193024259390E+00 , 
   1.04100 ,    -0.356616281178529E+00 ,    -0.155228473773248E+01 ,    -0.383263509322258E+00 ,    -0.346520640421304E+00 ,     0.122767252906765E+01 ,    -0.393116340568372E+00 , 
   1.06100 ,     0.766799870882085E+00 ,    -0.324836557696121E+01 ,    -0.333145646862706E+00 ,     0.778671584647671E+00 ,     0.218803142303917E+01 ,     0.171392266844937E-01 , 
   1.08100 ,     0.133528630115295E+01 ,    -0.465611170478392E+01 ,    -0.260873369639976E+00 ,     0.134853563434889E+01 ,     0.293285706482331E+01 ,     0.258966332640295E+00 , 
   1.10100 ,     0.129557528652482E+01 ,    -0.563995997067795E+01 ,    -0.169661082836757E+00 ,     0.130971975705619E+01 ,     0.339650802994778E+01 ,     0.312115741999107E+00 , 
   1.12100 ,     0.649924539714503E+00 ,    -0.610015306429938E+01 ,    -0.634355270043481E-01 ,     0.664445700061580E+00 ,     0.353903048870176E+01 ,     0.174247702993474E+00 , 
   1.14100 ,    -0.544560742677308E+00 ,    -0.598206250563913E+01 ,     0.532845114717477E-01 ,    -0.530171052512042E+00 ,     0.334930573789769E+01 ,    -0.139171751972557E+00 , 
   1.16100 ,    -0.218136686924966E+01 ,    -0.528183868365467E+01 ,     0.175463335060842E+00 ,    -0.216756655916882E+01 ,     0.284570968121258E+01 ,    -0.596584890868419E+00 , 
   1.18100 ,    -0.411419494064687E+01 ,    -0.404788342622878E+01 ,     0.297578725850993E+00 ,    -0.410136147261259E+01 ,     0.207427836608588E+01 ,    -0.115347867320823E+01 , 
   1.20100 ,    -0.616984040416298E+01 ,    -0.237797899304768E+01 ,     0.413618033462041E+00 ,    -0.615825255234601E+01 ,     0.110458060141475E+01 ,    -0.175663173976306E+01 , 
   1.22100 ,    -0.816313988023160E+01 ,    -0.412261421541367E+00 ,     0.517059386370903E+00 ,    -0.815297223410343E+01 ,     0.236839621803815E-01 ,    -0.234906704724803E+01 , 
   1.24100 ,    -0.991264641626350E+01 ,     0.167743283295199E+01 ,     0.600864237628200E+00 ,    -0.990397602695558E+01 ,    -0.107125059412518E+01 ,    -0.287525006265589E+01 , 
   1.26100 ,    -0.112556660523901E+02 ,     0.370101780742898E+01 ,     0.657511066566029E+00 ,    -0.112484894001047E+02 ,    -0.208110906044179E+01 ,    -0.328605961424850E+01 , 
   1.28100 ,    -0.120613813157428E+02 ,     0.546534253948551E+01 ,     0.679099812351026E+00 ,    -0.120556388280440E+02 ,    -0.291301682251790E+01 ,    -0.354308835004498E+01 , 
   1.30100 ,    -0.122409896779234E+02 ,     0.678989529158736E+01 ,     0.657552208214171E+00 ,    -0.122365944320962E+02 ,    -0.348791118412701E+01 ,    -0.362189882577190E+01 , 
   1.32100 ,    -0.117540763002875E+02 ,     0.752176121246141E+01 ,     0.584924742506380E+00 ,    -0.117509433329782E+02 ,    -0.374688760114508E+01 ,    -0.351396263571587E+01 , 
   1.34100 ,    -0.106107923112574E+02 ,     0.754861710061260E+01 ,     0.453839064145652E+00 ,    -0.106088651283390E+02 ,    -0.365582691773732E+01 ,    -0.322713404089201E+01 , 
   1.36100 ,    -0.886978943069309E+01 ,     0.680869573189754E+01 ,     0.258020260177400E+00 ,    -0.886906081405037E+01 ,    -0.320796199227655E+01 ,    -0.278464470015728E+01 , 
   1.38100 ,    -0.663223432696704E+01 ,     0.529688831636297E+01 ,    -0.708210999336593E-02 ,    -0.663275929572664E+01 ,    -0.242421725083226E+01 ,    -0.222274002237647E+01 , 
   1.40100 ,    -0.403255849089901E+01 ,     0.306645835099399E+01 ,    -0.343630473709401E+00 ,    -0.403445819476721E+01 ,    -0.135133893858827E+01 ,    -0.158719828864348E+01 , 
   1.42100 ,    -0.122686290153442E+01 ,     0.226189054152630E+00 ,    -0.750746516355155E+00 ,    -0.123031919670319E+01 ,    -0.580118587785131E-01 ,    -0.929070379366100E+00 , 
