Flight time (us) , Experiment , Calculated
   4059.1250000000000       ,    1.1667000000000001       ,    1.1778850963905914     
   4062.3750000000005       ,    1.1435000000000000       ,    1.1743438214944522     
   4065.6250000000000       ,    1.0913999999999999       ,    1.1718629254343087     
   4068.8750000000005       ,    1.1718999999999999       ,    1.1702453932059453     
   4072.1250000000000       ,    1.1716000000000000       ,    1.1692919213654642     
   4075.3750000000000       ,    1.1729000000000001       ,    1.1688547726125871     
   4078.6399999999999       ,    1.1653000000000000       ,    1.1688454097870034     
   4081.9059999999999       ,    1.2113000000000000       ,    1.1692831096809706     
   4085.1720000000000       ,    1.1595000000000000       ,    1.1703276182431306     
   4088.4380000000001       ,    1.1818000000000000       ,    1.1723912559215788     
   4091.7030000000000       ,    1.1642999999999999       ,    1.1763108166120977     
   4094.9850000000001       ,    1.1324000000000001       ,    1.1836076526449173     
   4098.2659999999996       ,    1.2146999999999999       ,    1.1966343179776147     
   4101.5470000000005       ,    1.2542000000000000       ,    1.2186678397125941     
   4104.8280000000004       ,    1.2523000000000000       ,    1.2535856815201267     
   4108.1089999999995       ,    1.2779000000000000       ,    1.3050020155264843     
   4111.3910000000005       ,    1.3161000000000000       ,    1.3748823260219696     
   4114.6719999999996       ,    1.3799999999999999       ,    1.4618635422723243     
   4117.9690000000001       ,    1.3826000000000001       ,    1.5603613288183058     
   4121.2650000000003       ,    1.4958000000000000       ,    1.6589457942868906     
   4124.5619999999999       ,    1.4694000000000000       ,    1.7430261047027131     
   4127.8599999999997       ,    1.5479000000000001       ,    1.7980396361362712     
   4131.1559999999999       ,    1.5910000000000000       ,    1.8143933192202804     
   4134.4690000000001       ,    1.5503000000000000       ,    1.7903849368470679     
   4137.7809999999999       ,    1.4885999999999999       ,    1.7323523944164863     
   4141.0940000000001       ,    1.4608000000000001       ,    1.6520603357220869     
   4144.4059999999999       ,    1.4487000000000001       ,    1.5628734136915705     
   4147.7190000000001       ,    1.4073000000000000       ,    1.4763629407778325     
   4151.0309999999999       ,    1.3650000000000000       ,    1.4006071589029139     
   4154.3440000000001       ,    1.3037000000000001       ,    1.3395064350533032     
   4157.6719999999996       ,    1.2057000000000000       ,    1.2934646763817068     
   4161.0000000000000       ,    1.2438000000000000       ,    1.2611202257569305     
   4164.3280000000004       ,    1.2475000000000001       ,    1.2397717896839704     
   4167.6559999999999       ,    1.2817000000000001       ,    1.2266414646657455     
   4170.9839999999995       ,    1.2592000000000001       ,    1.2193756293212881     
   4174.3280000000004       ,    1.2498000000000000       ,    1.2162681366081132     
   4177.6720000000005       ,    1.2162999999999999       ,    1.2163166108963550     
   4181.0150000000003       ,    1.2379000000000000       ,    1.2191926219789218     
   4184.3599999999997       ,    1.2405999999999999       ,    1.2255174030572173     
   4187.7029999999995       ,    1.2509999999999999       ,    1.2372568136225248     
   4191.0470000000005       ,    1.3084000000000000       ,    1.2587787449091759     
   4194.4059999999999       ,    1.3121000000000000       ,    1.2985445358582886     
   4197.7659999999996       ,    1.4373000000000000       ,    1.3703925740794185     
   4201.1250000000000       ,    1.4924999999999999       ,    1.4949252977595715     
   4204.4839999999995       ,    1.7339000000000000       ,    1.6989173345620157     
   4207.8440000000001       ,    2.0188999999999999       ,    2.0109737091709308     
   4211.2190000000001       ,    2.4931000000000001       ,    2.4554948168942636     
   4214.5940000000001       ,    3.0819999999999999       ,    3.0354729435444607     
   4217.9529999999995       ,    3.7770000000000001       ,    3.7220580727287484     
   4221.3279999999995       ,    4.4194000000000004       ,    4.4578112667198591     
   4224.7190000000001       ,    5.0644999999999998       ,    5.1478346429393129     
   4228.0939999999991       ,    5.5865000000000000       ,    5.6734593676910849     
   4231.4690000000001       ,    5.9233000000000002       ,    5.9453000527024029     
   4234.8440000000001       ,    5.7897999999999996       ,    5.9200755807354879     
   4238.2350000000006       ,    5.5523999999999996       ,    5.6139703086210950     
   4241.6250000000000       ,    5.0541999999999998       ,    5.0958749469479416     
   4245.0159999999996       ,    4.4985999999999997       ,    4.4601115650286802     
   4248.4219999999996       ,    3.8250999999999999       ,    3.7980730836680521     
   4251.8279999999995       ,    3.2736000000000001       ,    3.1864074951280057     
   4255.2339999999995       ,    2.7565000000000000       ,    2.6700142262664590     
   4258.6409999999996       ,    2.2277999999999998       ,    2.2646916953273646     
   4262.0469999999996       ,    1.8915999999999999       ,    1.9655468233757332     
   4265.4529999999995       ,    1.7234000000000000       ,    1.7553561163437676     
   4268.8590000000004       ,    1.6289000000000000       ,    1.6132367206909821     
   4272.2650000000003       ,    1.5174000000000001       ,    1.5196179053199204     
   4275.6880000000001       ,    1.5060000000000000       ,    1.4586520473655797     
   4279.1090000000004       ,    1.4943000000000000       ,    1.4194959601128243     
   4282.5309999999999       ,    1.3855999999999999       ,    1.3945980483265190     
   4285.9530000000004       ,    1.4097000000000000       ,    1.3795347238628548     
   4289.3750000000000       ,    1.4605999999999999       ,    1.3724293638387648     
   4292.8119999999999       ,    1.4772000000000001       ,    1.3732664545448137     
   4296.2500000000000       ,    1.4838000000000000       ,    1.3854418142532836     
   4299.6869999999999       ,    1.4501999999999999       ,    1.4167229330665878     
   4303.1250000000000       ,    1.4964999999999999       ,    1.4822781822937374     
   4306.5619999999999       ,    1.6001000000000001       ,    1.6078040885142983     
   4310.0159999999996       ,    1.9048000000000000       ,    1.8333054834305735     
   4313.4690000000001       ,    2.2147000000000001       ,    2.2096193048383226     
   4316.9219999999996       ,    2.8767000000000000       ,    2.7926453434615475     
   4320.3750000000000       ,    3.7852999999999999       ,    3.6273208155231647     
   4323.8279999999995       ,    4.8940999999999999       ,    4.7254595269661488     
   4327.2969999999996       ,    6.4090999999999996       ,    6.0491533345533934     
   4330.7500000000000       ,    7.9088000000000003       ,    7.4709529283563656     
   4334.2029999999995       ,    9.2636000000000003       ,    8.8158685917120483     
   4337.6720000000005       ,    10.105000000000000       ,    9.8730389669636711     
   4341.1410000000005       ,    10.728000000000000       ,    10.449715891937796     
   4344.6090000000004       ,    10.731000000000000       ,    10.451207680724870     
   4348.0940000000001       ,    10.244000000000000       ,    9.8990893626011189     
   4351.5779999999995       ,    9.3089999999999993       ,    8.9203288562934748     
   4355.0619999999999       ,    8.0902999999999992       ,    7.6966438697667439     
   4358.5469999999996       ,    6.6738999999999997       ,    6.4119771917910287     
   4362.0309999999999       ,    5.2356999999999996       ,    5.2133391256807489     
   4365.5160000000005       ,    4.1936000000000000       ,    4.1910646595520440     
   4369.0000000000000       ,    3.2694999999999999       ,    3.3805393040095670     
   4372.5000000000000       ,    2.5954000000000002       ,    2.7724787549441308     
   4376.0000000000000       ,    2.2006999999999999       ,    2.3393109947013122     
   4379.5000000000000       ,    1.8797999999999999       ,    2.0407089205750673     
   4383.0000000000000       ,    1.6912000000000000       ,    1.8381946368301914     
   4386.5160000000005       ,    1.6168000000000000       ,    1.7000259299630462     
   4390.0309999999999       ,    1.5145000000000000       ,    1.6041889707141892     
   4393.5309999999999       ,    1.4431000000000000       ,    1.5353109150610613     
   4397.0469999999996       ,    1.3573000000000000       ,    1.4828891783047504     
