 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   1.48600 ,     0.756112778323126E+01 ,    -0.116400542070178E+02 ,    -0.280256772010377E+01 ,     0.758829718834518E+01 ,     0.455864111085862E+01 ,     0.781940994422965E+00 , 
   1.50600 ,     0.945279336589807E+01 ,    -0.148792400564655E+02 ,    -0.342070785839564E+01 ,     0.948428705552751E+01 ,     0.574007836900403E+01 ,     0.102414803562275E+01 , 
   1.52600 ,     0.108562016958064E+02 ,    -0.176303551821385E+02 ,    -0.401612769391626E+01 ,     0.108907711958223E+02 ,     0.668897014107296E+01 ,     0.111150115774870E+01 , 
   1.54600 ,     0.117368498930736E+02 ,    -0.197212918301686E+02 ,    -0.456524244623371E+01 ,     0.117733156193986E+02 ,     0.734871235325712E+01 ,     0.104746271785243E+01 , 
   1.56600 ,     0.120966648076157E+02 ,    -0.210250928386263E+02 ,    -0.504424580981933E+01 ,     0.121339902431662E+02 ,     0.768381524157981E+01 ,     0.848384807757106E+00 , 
   1.58600 ,     0.119701210709597E+02 ,    -0.214691532564994E+02 ,    -0.543013443647788E+01 ,     0.120074626427078E+02 ,     0.768202689613015E+01 ,     0.541517668431611E+00 , 
   1.60600 ,     0.114178342470647E+02 ,    -0.210402318096545E+02 ,    -0.570184087722760E+01 ,     0.114545622150103E+02 ,     0.735464459731968E+01 ,     0.162058704625362E+00 , 
   1.62600 ,     0.105184016743604E+02 ,    -0.197848955819944E+02 ,    -0.584142766696398E+01 ,     0.105540904302888E+02 ,     0.673503715807150E+01 ,    -0.250461885473240E+00 , 
   1.64600 ,     0.935939549221817E+01 ,    -0.178053852069666E+02 ,    -0.583527922916520E+01 ,     0.939378501775104E+01 ,     0.587554004779186E+01 ,    -0.656105339425222E+00 , 
   1.66600 ,     0.802845221706589E+01 ,    -0.152512513990120E+02 ,    -0.567521506014634E+01 ,     0.806138574018708E+01 ,     0.484300678515707E+01 ,    -0.101838087628829E+01 , 
   1.68600 ,     0.660534960564954E+01 ,    -0.123074473655726E+02 ,    -0.535943916095621E+01 ,     0.663669538606501E+01 ,     0.371339586035729E+01 ,    -0.130766839859041E+01 , 
   1.70600 ,     0.515582188047091E+01 ,    -0.917983863397273E+01 ,    -0.489323859262500E+01 ,     0.518538923372962E+01 ,     0.256583557002652E+01 ,    -0.150388661836716E+01 , 
   1.72600 ,     0.372765424762960E+01 ,    -0.607928994914356E+01 ,    -0.428934953525425E+01 ,     0.375511512794319E+01 ,     0.147663573593059E+01 ,    -0.159816088839759E+01 , 
   1.74600 ,     0.234933905608121E+01 ,    -0.320559253744438E+01 ,    -0.356792288199414E+01 ,     0.237416658343982E+01 ,     0.513704488046565E+00 ,    -0.159334247347414E+01 , 
   1.76600 ,     0.103129528642862E+01 ,    -0.732496380989033E+00 ,    -0.275604297405274E+01 ,     0.105272945455742E+01 ,    -0.268217722985675E+00 ,    -0.150334172780738E+01 , 
   1.78600 ,    -0.230621577353016E+00 ,     0.120498819152940E+01 ,    -0.188678154190219E+01 ,    -0.213573093093011E+00 ,    -0.831171094805465E+00 ,    -0.135135131681829E+01 , 
   1.80600 ,    -0.144983369136835E+01 ,     0.252004839675486E+01 ,    -0.997802431455693E+00 ,    -0.143835502826227E+01 ,    -0.115620028612269E+01 ,    -0.116714167033007E+01 , 
   1.82600 ,    -0.264267804993460E+01 ,     0.317958458577807E+01 ,    -0.129568757104855E+00 ,    -0.263806440840673E+01 ,    -0.124406721332512E+01 ,    -0.983699450288409E+00 , 
   1.84600 ,    -0.382177573709730E+01 ,     0.320540488181591E+01 ,     0.676760255709063E+00 ,    -0.382531626307202E+01 ,    -0.111445041145026E+01 ,    -0.833542757905886E+00 , 
   1.86600 ,    -0.498996705335463E+01 ,     0.267107026412306E+01 ,     0.138162352496606E+01 ,    -0.500279960093579E+01 ,    -0.803743656366576E+00 ,    -0.745078260838829E+00 , 
   1.88600 ,    -0.613558394164395E+01 ,     0.169470966329131E+01 ,     0.194939914125863E+01 ,    -0.615853384961790E+01 ,    -0.361668581924519E+00 ,    -0.739362455289719E+00 , 
   1.90600 ,    -0.722968795661705E+01 ,     0.428442557002459E+00 ,     0.235063239184623E+01 ,    -0.726310595150177E+01 ,     0.153002374194787E+00 ,    -0.827592115346490E+00 , 
   1.92600 ,    -0.822569236947140E+01 ,    -0.954691357838257E+00 ,     0.256398734864114E+01 ,    -0.826930842520210E+01 ,     0.677260635927655E+00 ,    -0.100958098489350E+01 , 
   1.94600 ,    -0.906153166725522E+01 ,    -0.227521031327286E+01 ,     0.257776799657530E+01 ,    -0.911434185069189E+01 ,     0.114883502394326E+01 ,    -0.127338713143145E+01 , 
   1.96600 ,    -0.966426596106149E+01 ,    -0.336189654259586E+01 ,     0.239087751463496E+01 ,    -0.972446784647125E+01 ,     0.151094854047160E+01 ,    -0.159614657428002E+01 , 
   1.98600 ,    -0.995673899544539E+01 ,    -0.406555283564120E+01 ,     0.201311918607627E+01 ,    -0.100217281619371E+02 ,     0.171651410976275E+01 ,    -0.194605379817359E+01 , 
   2.00600 ,    -0.986567334060027E+01 ,    -0.427073022813399E+01 ,     0.146478735289411E+01 ,    -0.993210895119841E+01 ,     0.173148079495455E+01 ,    -0.228531915100187E+01 , 
   2.02600 ,    -0.933040863873598E+01 ,    -0.390453169520772E+01 ,     0.775548658819028E+00 ,    -0.939435046240896E+01 ,     0.153711688445010E+01 ,    -0.257383713688134E+01 , 
   2.04600 ,    -0.831138679328434E+01 ,    -0.294185054118493E+01 ,    -0.173314416950179E-01 ,    -0.836849972057992E+01 ,     0.113110354025183E+01 ,    -0.277322721428640E+01 , 
   2.06600 ,    -0.679747293596335E+01 ,    -0.140670353373111E+01 ,    -0.871308770421011E+00 ,    -0.684328859349620E+01 ,     0.527405184299648E+00 ,    -0.285086676791368E+01 , 
   2.08600 ,    -0.481127586317866E+01 ,     0.630357973118686E+00 ,    -0.174127197384764E+01 ,    -0.484149493523020E+01 ,    -0.245026784161934E+00 ,    -0.278352860159136E+01 , 
   2.10600 ,    -0.241179082981943E+01 ,     0.305845775856210E+01 ,    -0.258245386882733E+01 ,    -0.242260472304112E+01 ,    -0.114457868444857E+01 ,    -0.256026365546858E+01 , 
   2.12600 ,     0.306082527306324E+00 ,     0.573563770877724E+01 ,    -0.335332847083629E+01 ,     0.317675471628542E+00 ,    -0.212012213021659E+01 ,    -0.218423152888397E+01 , 
   2.14600 ,     0.321531430444433E+01 ,     0.850031469285135E+01 ,    -0.401827378857632E+01 ,     0.325122433158922E+01 ,    -0.311473025392238E+01 ,    -0.167327159801492E+01 , 
   2.16600 ,     0.616367292309733E+01 ,     0.111839730461850E+02 ,    -0.454979256022532E+01 ,     0.622449168809225E+01 ,    -0.406968074749110E+01 ,    -0.105911827009480E+01 , 
   2.18600 ,     0.898336940243305E+01 ,     0.136240399606537E+02 ,    -0.493011283983527E+01 ,     0.906822268534350E+01 ,    -0.492845813061665E+01 ,    -0.385285514828649E+00 , 
   2.20600 ,     0.115027089983716E+02 ,     0.156759055885373E+02 ,    -0.515203592274810E+01 ,     0.116092067889096E+02 ,    -0.564048278418647E+01 ,     0.296232504532205E+00 , 
   2.22600 ,     0.135588297751758E+02 ,     0.172231498753034E+02 ,    -0.521895727920661E+01 ,     0.136831242849392E+02 ,    -0.616432781169552E+01 ,     0.929186993089699E+00 , 
   2.24600 ,     0.150104736861146E+02 ,     0.181852136429210E+02 ,    -0.514405246918798E+01 ,     0.151474276273707E+02 ,    -0.647023301451600E+01 ,     0.145787851844508E+01 , 
   2.26600 ,     0.157496937258320E+02 ,     0.185219856731335E+02 ,    -0.494868907602971E+01 ,     0.158931523212790E+02 ,    -0.654178364561873E+01 ,     0.183213075199223E+01 , 
   2.28600 ,     0.157114563003754E+02 ,     0.182350492649123E+02 ,    -0.466019170795441E+01 ,     0.158546076928113E+02 ,    -0.637668517783222E+01 ,     0.201199929386379E+01 , 
   2.30600 ,     0.148802479544668E+02 ,     0.173656169970862E+02 ,    -0.430914430368192E+01 ,     0.150160487300404E+02 ,    -0.598662912489375E+01 ,     0.197179269296624E+01 , 
   2.32600 ,     0.132930282158705E+02 ,     0.159894566226250E+02 ,    -0.392645712027980E+01 ,     0.134146643616478E+02 ,    -0.539630441437986E+01 ,     0.170303183125132E+01 , 
   2.34600 ,     0.110381661772688E+02 ,     0.142093510669774E+02 ,    -0.354045068749337E+01 ,     0.111395155804761E+02 ,    -0.464166007529260E+01 ,     0.121605645017366E+01 , 
   2.36600 ,     0.825033223602768E+01 ,     0.121458217837337E+02 ,    -0.317421292794326E+01 ,     0.832639325217094E+01 ,    -0.376756517038063E+01 ,     0.540097065347806E+00 , 
   2.38600 ,     0.510165916736971E+01 ,     0.992696272666925E+01 ,    -0.284346754108459E+01 ,     0.514891108097870E+01 ,    -0.282503917249094E+01 ,    -0.278242249449057E+00 , 
   2.40600 ,     0.178980832329198E+01 ,     0.767827368294554E+01 ,    -0.255515248578276E+01 ,     0.180647370213708E+01 ,    -0.186823968881177E+01 ,    -0.117801044754744E+01 , 
   2.42600 ,    -0.147615128888014E+01 ,     0.551334528939775E+01 ,    -0.230684969849948E+01 ,    -0.148996553274088E+01 ,    -0.951394985036121E+00 ,    -0.208823581388089E+01 , 
   2.44600 ,    -0.449094537250864E+01 ,     0.352613916992528E+01 ,    -0.208713547531503E+01 ,    -0.453324243526369E+01 ,    -0.125857491736693E+00 ,    -0.293322801217446E+01 , 
   2.46600 ,    -0.706816664974045E+01 ,     0.178543694885802E+01 ,    -0.187684101769527E+01 ,    -0.713519358675833E+01 ,     0.562566552372198E+00 ,    -0.363844307669189E+01 , 
   2.48600 ,    -0.905400196544551E+01 ,     0.331818129836435E+00 ,    -0.165113119188642E+01 ,    -0.914051545456980E+01 ,     0.107588441807847E+01 ,    -0.413644308841467E+01 , 
   2.50600 ,    -0.103384987658793E+02 ,    -0.822710831429306E+00 ,    -0.138223362873782E+01 ,    -0.104381448068164E+02 ,     0.138568699574308E+01 ,    -0.437246525584194E+01 , 
   2.52600 ,    -0.108634507645484E+02 ,    -0.169255369902976E+01 ,    -0.104258668976796E+01 ,    -0.109692306487935E+02 ,     0.147436204144258E+01 ,    -0.430913840483564E+01 , 
   2.54600 ,    -0.106262571017057E+02 ,    -0.231416576536346E+01 ,    -0.608129486859105E+00 ,    -0.107310444436944E+02 ,     0.133572474941067E+01 ,    -0.392994693537383E+01 , 
   2.56600 ,    -0.967943982613233E+01 ,    -0.274001918663058E+01 ,    -0.614346077874068E-01 ,    -0.977650864098922E+01 ,     0.975071005247112E+00 ,    -0.324113830853876E+01 , 
   2.58600 ,    -0.812586288665639E+01 ,    -0.303154058238838E+01 ,     0.605612830502609E+00 ,    -0.820938510948379E+01 ,     0.408685674075357E+00 ,    -0.227189237841074E+01 , 
   2.60600 ,    -0.611005132982041E+01 ,    -0.325173386385964E+01 ,     0.138985713368523E+01 ,    -0.617552400831716E+01 ,    -0.337139791718236E+00 ,    -0.107270942536061E+01 , 
   2.62600 ,    -0.380633156502258E+01 ,    -0.345819841508293E+01 ,     0.227584887359167E+01 ,    -0.385089914403296E+01 ,    -0.122750962566025E+01 ,     0.287882793598032E+00 , 
   2.64600 ,    -0.140477474750800E+01 ,    -0.369718464269213E+01 ,     0.323589650554603E+01 ,    -0.142742003303004E+01 ,    -0.222066386260977E+01 ,     0.172806612344283E+01 , 
   2.66600 ,     0.903896809338283E+00 ,    -0.399920374445283E+01 ,     0.423124381934246E+01 ,     0.902308901720998E+00 ,    -0.326996778027979E+01 ,     0.315855805784322E+01 , 
   2.68600 ,     0.294320086960406E+01 ,    -0.437653957204168E+01 ,     0.521432784188582E+01 ,     0.296003066154591E+01 ,    -0.432605968241418E+01 ,     0.448908135117071E+01 , 
   2.70600 ,     0.456437045291370E+01 ,    -0.482281464932326E+01 ,     0.613197582241852E+01 ,     0.459545331019376E+01 ,    -0.533906673069576E+01 ,     0.563497714882921E+01 , 
   2.72600 ,     0.565732737205850E+01 ,    -0.531455880803360E+01 ,     0.692931267702338E+01 ,     0.569734538432582E+01 ,    -0.626080156880737E+01 ,     0.652344714251590E+01 , 
   2.74600 ,     0.615828779015973E+01 ,    -0.581453685692656E+01 ,     0.755407952121949E+01 ,     0.620123238202927E+01 ,    -0.704685718892346E+01 ,     0.709893729213683E+01 , 
   2.76600 ,     0.605342459187510E+01 ,    -0.627642903214170E+01 ,     0.796101626316013E+01 ,     0.609311128342494E+01 ,    -0.765852340573579E+01 ,     0.732724203405622E+01 , 
   2.78600 ,     0.537834901990246E+01 ,    -0.665033936422689E+01 ,     0.811594146325234E+01 ,     0.540894094274354E+01 ,    -0.806445520521445E+01 ,     0.719800823597720E+01 , 
   2.80600 ,     0.421352893173511E+01 ,    -0.688854275834554E+01 ,     0.799917333981835E+01 ,     0.423002476996495E+01 ,    -0.824203113411695E+01 ,     0.672544429180477E+01 , 
   2.82600 ,     0.267610257000267E+01 ,    -0.695087639336453E+01 ,     0.760797694037412E+01 ,     0.267474746720459E+01 ,    -0.817834898208479E+01 ,     0.594718139823576E+01 , 
   2.84600 ,     0.908845638197289E+00 ,    -0.680923416290720E+01 ,     0.695779153702875E+01 ,     0.887430095320575E+00 ,    -0.787081657362050E+01 ,     0.492137969130978E+01 , 
   2.86600 ,    -0.932719659911319E+00 ,    -0.645072792005428E+01 ,     0.608208423584869E+01 ,    -0.974698291852166E+00 ,    -0.732730783098406E+01 ,     0.372230972601307E+01 , 
   2.88600 ,    -0.269394144215998E+01 ,    -0.587922499812966E+01 ,     0.503078353419625E+01 ,    -0.275526839241559E+01 ,    -0.656586859505293E+01 ,     0.243475862097718E+01 , 
   2.90600 ,    -0.423420408534998E+01 ,    -0.511514288582160E+01 ,     0.386736151682199E+01 ,    -0.431208786840103E+01 ,    -0.561397301702041E+01 ,     0.114770053077562E+01 , 
   2.92600 ,    -0.543852382034891E+01 ,    -0.419356180332640E+01 ,     0.266474612493251E+01 ,    -0.552887525319727E+01 ,    -0.450734942029951E+01 ,    -0.522742023257600E-01 , 
   2.94600 ,    -0.622660770955425E+01 ,    -0.316088644028175E+01 ,     0.150034599165076E+01 ,    -0.632443198850798E+01 ,    -0.328841384401392E+01 ,    -0.108726202365933E+01 , 
   2.96600 ,    -0.655864455035307E+01 ,    -0.207043258501620E+01 ,     0.450550997596001E+00 ,    -0.665851096592525E+01 ,    -0.200436918395899E+01 ,    -0.189359799456504E+01 , 
   2.98600 ,    -0.643739146115330E+01 ,    -0.977418822669992E+00 ,    -0.414875243124420E+00 ,    -0.653393821059349E+01 ,    -0.705046850331658E+00 ,    -0.242623745888148E+01 , 
   3.00600 ,    -0.590644919661258E+01 ,     0.661020330766263E-01 ,    -0.103807435822014E+01 ,    -0.599487735505238E+01 ,     0.559415115975297E+00 ,    -0.266164559789131E+01 , 
   3.02600 ,    -0.504495355724424E+01 ,     0.101583756107851E+01 ,    -0.137762174078610E+01 ,    -0.512146494126376E+01 ,     0.174094984659970E+01 ,    -0.259899463321039E+01 , 
   3.04600 ,    -0.395922038968690E+01 ,     0.183889714786739E+01 ,    -0.141193205455543E+01 ,    -0.402135878519878E+01 ,     0.279587872677548E+01 ,    -0.225960469188505E+01 , 
   3.06600 ,    -0.277214079373799E+01 ,     0.251610461860415E+01 ,    -0.114124981565524E+01 ,    -0.281900445502709E+01 ,     0.368704789450556E+01 ,    -0.168470396424398E+01 , 
   3.08600 ,    -0.161130915837294E+01 ,     0.304274836856026E+01 ,    -0.588039118891180E+00 ,    -0.164361391299990E+01 ,     0.438566771881845E+01 ,    -0.931715423869938E+00 , 
   3.10600 ,    -0.596964056454344E+00 ,     0.342770104906342E+01 ,     0.204290351625524E+00 ,    -0.616949789324871E+00 ,     0.487274930138878E+01 ,    -0.693904817365056E-01 , 
   3.12600 ,     0.169176731590583E+00 ,     0.369101391474160E+01 ,     0.117425348966204E+01 ,     0.157989169781188E+00 ,     0.514004952400514E+01 ,     0.827804404307236E+00 , 
   3.14600 ,     0.613199779966659E+00 ,     0.386025391652204E+01 ,     0.224656138836231E+01 ,     0.606380360126073E+00 ,     0.519046003960688E+01 ,     0.168559050818394E+01 , 
   3.16600 ,     0.695590800636970E+00 ,     0.396598811217378E+01 ,     0.333748615488547E+01 ,     0.688267773267453E+00 ,     0.503780475536691E+01 ,     0.243559741480257E+01 , 
   3.18600 ,     0.414582390433775E+00 ,     0.403691608379544E+01 ,     0.436092022680242E+01 ,     0.401963053287324E+00 ,     0.470604319040540E+01 ,     0.302045413739700E+01 , 
   3.20600 ,    -0.194007882414922E+00 ,     0.409519680778508E+01 ,     0.523467185680658E+01 ,    -0.216111106987465E+00 ,     0.422791164187102E+01 ,     0.339786349971719E+01 , 
   3.22600 ,    -0.106039605234238E+01 ,     0.415250669754491E+01 ,     0.588651481686681E+01 ,    -0.109508360288353E+01 ,     0.364306815384637E+01 ,     0.354336268245847E+01 , 
   3.24600 ,    -0.208754640586069E+01 ,     0.420730060657341E+01 ,     0.625952511443503E+01 ,    -0.213643991251294E+01 ,     0.299583856415397E+01 ,     0.345158531254288E+01 , 
   3.26600 ,    -0.316034912612404E+01 ,     0.424363311746633E+01 ,     0.631628980690287E+01 ,    -0.322332901729373E+01 ,     0.233268720483673E+01 ,     0.313596567115730E+01 , 
   3.28600 ,    -0.415641414670915E+01 ,     0.423174402653352E+01 ,     0.604165894043371E+01 ,    -0.423151443689846E+01 ,     0.169955521372246E+01 ,     0.262695302964623E+01 , 
   3.30600 ,    -0.495749780502256E+01 ,     0.413043406302615E+01 ,     0.544382451394290E+01 ,    -0.504097219747836E+01 ,     0.113922035392195E+01 ,     0.196892329679535E+01 , 
   3.32600 ,    -0.546053067105505E+01 ,     0.389107162342499E+01 ,     0.455364119435062E+01 ,    -0.554708878221006E+01 ,     0.688833754932977E+00 ,     0.121607643960925E+01 , 
   3.34600 ,    -0.558725855074990E+01 ,     0.346289668189186E+01 ,     0.342224175797691E+01 ,    -0.567045553346193E+01 ,     0.377780732838750E+00 ,     0.427683529162348E+00 , 
   3.36600 ,    -0.529163942891457E+01 ,     0.279914133302819E+01 ,     0.211713469904899E+01 ,    -0.536438793264568E+01 ,     0.225995138002133E+00 ,    -0.336908947720457E+00 , 
   3.38600 ,    -0.456434469276638E+01 ,     0.186338250110845E+01 ,     0.717091173031158E+00 ,    -0.461950626392266E+01 ,     0.242830497183465E+00 ,    -0.102310067198925E+01 , 
   3.40600 ,    -0.343397455438494E+01 ,     0.635492231126365E+00 ,    -0.693776364101292E+00 ,    -0.346497936133318E+01 ,     0.426558144034880E+00 ,    -0.158529359002245E+01 , 
   3.42600 ,    -0.196489159826629E+01 ,    -0.883439259037174E+00 ,    -0.203227860924867E+01 ,    -0.196633157168512E+01 ,     0.764524643165006E+00 ,    -0.199024844029502E+01 , 
   3.44600 ,    -0.251876607688838E+00 ,    -0.266776243764757E+01 ,    -0.322226640606496E+01 ,    -0.220018145171719E+00 ,     0.123396053617286E+01 ,    -0.221929133959275E+01 , 
   3.46600 ,     0.158790924915945E+01 ,    -0.466593856536722E+01 ,    -0.420012397841600E+01 ,     0.165474095397354E+01 ,     0.180339238391096E+01 ,    -0.226922267183039E+01 , 
   3.48600 ,     0.342493665703986E+01 ,    -0.680148034241277E+01 ,    -0.491921476141209E+01 ,     0.352613926900966E+01 ,     0.243457285900277E+01 ,    -0.215189306926978E+01 , 
