 EXAFS #1,   chi(k)*k^2
      k    ,  calculated  ,  experiment
 9.300 ,    -2.16765 ,    -0.23302
 9.350 ,    -2.16380 ,    -0.15460
 9.400 ,    -1.87600 ,    -0.07576
 9.450 ,    -1.33607 ,    -0.06544
 9.500 ,    -0.60377 ,    -0.09084
 9.550 ,     0.23926 ,    -0.07313
 9.600 ,     1.09795 ,     0.06792
 9.650 ,     1.87370 ,     0.41580
 9.700 ,     2.47498 ,     0.90009
 9.750 ,     2.82713 ,     1.20404
 9.800 ,     2.88069 ,     1.17934
 9.850 ,     2.61713 ,     0.90320
 9.900 ,     2.05127 ,     0.38841
 9.950 ,     1.23025 ,    -0.32846
10.000 ,     0.22903 ,    -1.06230
10.050 ,    -0.85713 ,    -1.56637
10.100 ,    -1.92240 ,    -1.78211
10.150 ,    -2.86133 ,    -1.76726
10.200 ,    -3.57970 ,    -1.60949
10.250 ,    -4.00418 ,    -1.42345
10.300 ,    -4.08992 ,    -1.16750
10.350 ,    -3.82514 ,    -0.74155
10.400 ,    -3.23228 ,    -0.23363
10.450 ,    -2.36559 ,     0.15308
10.500 ,    -1.30561 ,     0.43247
10.550 ,    -0.15083 ,     0.60709
10.600 ,     0.99220 ,     0.81254
10.650 ,     2.01968 ,     0.96954
10.700 ,     2.84082 ,     1.02813
10.750 ,     3.38652 ,     0.90580
10.800 ,     3.61597 ,     0.87929
10.850 ,     3.51995 ,     0.69163
10.900 ,     3.12110 ,     0.66491
10.950 ,     2.47072 ,     0.61649
11.000 ,     1.64297 ,     0.45386
11.050 ,     0.72673 ,     0.30559
11.100 ,    -0.18381 ,     0.14983
11.150 ,    -0.99864 ,    -0.13316
11.200 ,    -1.64097 ,    -0.47447
11.250 ,    -2.05455 ,    -0.72499
11.300 ,    -2.20856 ,    -0.85917
11.350 ,    -2.10000 ,    -0.83255
11.400 ,    -1.75298 ,    -0.59825
11.450 ,    -1.21534 ,    -0.21715
11.500 ,    -0.55293 ,     0.20390
11.550 ,     0.15764 ,     0.61828
11.600 ,     0.83721 ,     0.89341
11.650 ,     1.41221 ,     0.87250
11.700 ,     1.82200 ,     0.52088
11.750 ,     2.02443 ,     0.02750
11.800 ,     1.99963 ,    -0.20379
11.850 ,     1.75123 ,    -0.19010
11.900 ,     1.30521 ,    -0.07611
11.950 ,     0.70664 ,     0.04059
12.000 ,     0.01457 ,    -0.09677
12.050 ,    -0.70414 ,    -0.42710
12.100 ,    -1.38162 ,    -0.71944
12.150 ,    -1.95551 ,    -0.80861
12.200 ,    -2.37472 ,    -0.71808
12.250 ,    -2.60358 ,    -0.51421
12.300 ,    -2.62461 ,    -0.31818
12.350 ,    -2.43913 ,    -0.11823
12.400 ,    -2.06621 ,     0.06917
12.450 ,    -1.54009 ,     0.08080
12.500 ,    -0.90633 ,     0.03577
12.550 ,    -0.21729 ,    -0.00222
12.600 ,     0.47268 ,     0.01088
12.650 ,     1.11175 ,     0.06756
12.700 ,     1.65475 ,     0.18555
12.750 ,     2.06612 ,     0.43189
12.800 ,     2.32203 ,     0.65365
12.850 ,     2.41137 ,     0.85056
12.900 ,     2.33562 ,     0.86254
12.950 ,     2.10793 ,     0.57396
13.000 ,     1.75149 ,     0.24176
13.050 ,     1.29714 ,     0.04082
13.100 ,     0.78112 ,    -0.06706
13.150 ,     0.24227 ,    -0.14661
13.200 ,    -0.28048 ,    -0.00378
13.250 ,    -0.75074 ,     0.08788
13.300 ,    -1.13680 ,    -0.11211
