     r   ,   Re_Calc  ,  Im_Calc  ,  Mod_Calc  ,   Re_Ex   ,   Im_Ex  ,   Mod_Ex
   0.81000 ,   -0.60374 ,   -0.01981 ,    0.60407 ,   -0.46896 ,    0.28535 ,    0.54895
   0.82000 ,   -0.62062 ,   -0.08378 ,    0.62625 ,   -0.50000 ,    0.25606 ,    0.56175
   0.83000 ,   -0.62600 ,   -0.15079 ,    0.64391 ,   -0.52768 ,    0.22347 ,    0.57305
   0.84000 ,   -0.61954 ,   -0.21805 ,    0.65679 ,   -0.55163 ,    0.18832 ,    0.58289
   0.85000 ,   -0.60161 ,   -0.28276 ,    0.66474 ,   -0.57167 ,    0.15139 ,    0.59138
   0.86000 ,   -0.57330 ,   -0.34233 ,    0.66773 ,   -0.58784 ,    0.11342 ,    0.59869
   0.87000 ,   -0.53634 ,   -0.39455 ,    0.66583 ,   -0.60034 ,    0.07511 ,    0.60502
   0.88000 ,   -0.49299 ,   -0.43773 ,    0.65928 ,   -0.60953 ,    0.03705 ,    0.61066
   0.89000 ,   -0.44586 ,   -0.47086 ,    0.64846 ,   -0.61590 ,   -0.00032 ,    0.61590
   0.90000 ,   -0.39772 ,   -0.49365 ,    0.63393 ,   -0.61999 ,   -0.03674 ,    0.62108
   0.91000 ,   -0.35134 ,   -0.50658 ,    0.61649 ,   -0.62239 ,   -0.07213 ,    0.62656
   0.92000 ,   -0.30925 ,   -0.51086 ,    0.59717 ,   -0.62367 ,   -0.10658 ,    0.63271
   0.93000 ,   -0.27354 ,   -0.50834 ,    0.57727 ,   -0.62430 ,   -0.14036 ,    0.63988
   0.94000 ,   -0.24575 ,   -0.50142 ,    0.55840 ,   -0.62463 ,   -0.17389 ,    0.64838
   0.95000 ,   -0.22670 ,   -0.49281 ,    0.54245 ,   -0.62487 ,   -0.20768 ,    0.65848
   0.96000 ,   -0.21643 ,   -0.48540 ,    0.53146 ,   -0.62504 ,   -0.24228 ,    0.67036
   0.97000 ,   -0.21418 ,   -0.48201 ,    0.52746 ,   -0.62499 ,   -0.27829 ,    0.68415
   0.98000 ,   -0.21842 ,   -0.48520 ,    0.53209 ,   -0.62436 ,   -0.31621 ,    0.69986
   0.99000 ,   -0.22693 ,   -0.49704 ,    0.54640 ,   -0.62262 ,   -0.35647 ,    0.71745
   1.00000 ,   -0.23699 ,   -0.51899 ,    0.57053 ,   -0.61914 ,   -0.39935 ,    0.73676
   1.01000 ,   -0.24547 ,   -0.55170 ,    0.60385 ,   -0.61315 ,   -0.44497 ,    0.75760
   1.02000 ,   -0.24915 ,   -0.59502 ,    0.64508 ,   -0.60387 ,   -0.49323 ,    0.77970
   1.03000 ,   -0.24485 ,   -0.64790 ,    0.69263 ,   -0.59049 ,   -0.54383 ,    0.80276
   1.04000 ,   -0.22971 ,   -0.70850 ,    0.74481 ,   -0.57229 ,   -0.59629 ,    0.82649
   1.05000 ,   -0.20139 ,   -0.77422 ,    0.79998 ,   -0.54865 ,   -0.64993 ,    0.85055
   1.06000 ,   -0.15822 ,   -0.84191 ,    0.85664 ,   -0.51910 ,   -0.70394 ,    0.87465
   1.07000 ,   -0.09937 ,   -0.90801 ,    0.91343 ,   -0.48336 ,   -0.75741 ,    0.89850
   1.08000 ,   -0.02491 ,   -0.96882 ,    0.96914 ,   -0.44135 ,   -0.80937 ,    0.92188
   1.09000 ,    0.06416 ,   -1.02071 ,    1.02273 ,   -0.39319 ,   -0.85886 ,    0.94458
   1.10000 ,    0.16598 ,   -1.06037 ,    1.07328 ,   -0.33921 ,   -0.90498 ,    0.96646
   1.11000 ,    0.27790 ,   -1.08501 ,    1.12003 ,   -0.27990 ,   -0.94694 ,    0.98744
   1.12000 ,    0.39666 ,   -1.09254 ,    1.16232 ,   -0.21591 ,   -0.98410 ,    1.00751
   1.13000 ,    0.51859 ,   -1.08177 ,    1.19965 ,   -0.14795 ,   -1.01598 ,    1.02670
   1.14000 ,    0.63984 ,   -1.05240 ,    1.23164 ,   -0.07677 ,   -1.04231 ,    1.04513
   1.15000 ,    0.75664 ,   -1.00509 ,    1.25806 ,   -0.00310 ,   -1.06298 ,    1.06299
   1.16000 ,    0.86553 ,   -0.94141 ,    1.27883 ,    0.07241 ,   -1.07807 ,    1.08050
   1.17000 ,    0.96361 ,   -0.86370 ,    1.29403 ,    0.14922 ,   -1.08778 ,    1.09797
   1.18000 ,    1.04868 ,   -0.77491 ,    1.30393 ,    0.22697 ,   -1.09239 ,    1.11572
   1.19000 ,    1.11945 ,   -0.67840 ,    1.30897 ,    0.30547 ,   -1.09222 ,    1.13413
   1.20000 ,    1.17555 ,   -0.57763 ,    1.30980 ,    0.38470 ,   -1.08754 ,    1.15358
   1.21000 ,    1.21757 ,   -0.47598 ,    1.30730 ,    0.46482 ,   -1.07853 ,    1.17443
   1.22000 ,    1.24699 ,   -0.37643 ,    1.30257 ,    0.54612 ,   -1.06521 ,    1.19705
   1.23000 ,    1.26601 ,   -0.28134 ,    1.29690 ,    0.62898 ,   -1.04740 ,    1.22174
   1.24000 ,    1.27742 ,   -0.19227 ,    1.29181 ,    0.71377 ,   -1.02466 ,    1.24876
   1.25000 ,    1.28430 ,   -0.10983 ,    1.28899 ,    0.80081 ,   -0.99631 ,    1.27825
   1.26000 ,    1.28976 ,   -0.03361 ,    1.29019 ,    0.89027 ,   -0.96142 ,    1.31031
   1.27000 ,    1.29663 ,    0.03778 ,    1.29718 ,    0.98210 ,   -0.91883 ,    1.34491
