 EXAFS #2,   chi(k)*k^2
      k    ,  calculated  ,  experiment
 9.650 ,    -0.73371 ,    -0.01188
 9.700 ,    -0.62049 ,     0.10794
 9.750 ,    -0.44467 ,     0.29027
 9.800 ,    -0.21082 ,     0.48286
 9.850 ,     0.06750 ,     0.60491
 9.900 ,     0.36819 ,     0.59014
 9.950 ,     0.66255 ,     0.45895
10.000 ,     0.91837 ,     0.24334
10.050 ,     1.10397 ,    -0.07947
10.100 ,     1.19251 ,    -0.44346
10.150 ,     1.16629 ,    -0.66563
10.200 ,     1.02004 ,    -0.63627
10.250 ,     0.76284 ,    -0.40865
10.300 ,     0.41808 ,    -0.15580
10.350 ,     0.02155 ,     0.02317
10.400 ,    -0.38230 ,     0.10560
10.450 ,    -0.74566 ,     0.11791
10.500 ,    -1.02339 ,     0.12527
10.550 ,    -1.17892 ,     0.13321
10.600 ,    -1.18968 ,     0.12907
10.650 ,    -1.05060 ,     0.10984
10.700 ,    -0.77577 ,     0.07162
10.750 ,    -0.39739 ,     0.05908
10.800 ,     0.03754 ,     0.11014
10.850 ,     0.47282 ,     0.19114
10.900 ,     0.84994 ,     0.27739
10.950 ,     1.11580 ,     0.34271
11.000 ,     1.22982 ,     0.32899
11.050 ,     1.16985 ,     0.19398
11.100 ,     0.93588 ,     0.00903
11.150 ,     0.55091 ,    -0.18314
11.200 ,     0.05903 ,    -0.36651
11.250 ,    -0.47936 ,    -0.43232
11.300 ,    -0.99461 ,    -0.36927
11.350 ,    -1.41634 ,    -0.33136
11.400 ,    -1.68242 ,    -0.38162
11.450 ,    -1.74728 ,    -0.42036
11.500 ,    -1.58846 ,    -0.37312
11.550 ,    -1.21057 ,    -0.19999
11.600 ,    -0.64604 ,     0.05696
11.650 ,     0.04760 ,     0.25916
11.700 ,     0.79368 ,     0.35359
11.750 ,     1.50483 ,     0.36785
11.800 ,     2.09321 ,     0.34641
11.850 ,     2.48114 ,     0.32738
11.900 ,     2.61088 ,     0.32177
11.950 ,     2.45242 ,     0.31882
12.000 ,     2.00822 ,     0.24227
12.050 ,     1.31411 ,     0.06779
12.100 ,     0.43646 ,    -0.10104
12.150 ,    -0.53451 ,    -0.18420
12.200 ,    -1.49455 ,    -0.18682
12.250 ,    -2.33669 ,    -0.16706
12.300 ,    -2.96377 ,    -0.17099
12.350 ,    -3.29975 ,    -0.19535
12.400 ,    -3.29903 ,    -0.22159
