 Q (1/Ang),S-S  ,S-F  ,F-F  
   1.91000 ,    -0.484763190330265E+01 ,     0.278390333689380E+00 ,    -0.110132650492385E+01 , 
   1.93000 ,    -0.534887544922257E+01 ,     0.208062562462574E+00 ,    -0.113962605254960E+01 , 
   1.95000 ,    -0.574938131380032E+01 ,     0.159473033087097E+00 ,    -0.117062642562851E+01 , 
   1.97000 ,    -0.604615633063069E+01 ,     0.130662964586542E+00 ,    -0.119419471047912E+01 , 
   1.99000 ,    -0.623808022788549E+01 ,     0.119264346995930E+00 ,    -0.121029834245923E+01 , 
   2.01000 ,    -0.632587660859981E+01 ,     0.122566907595334E+00 ,    -0.121899879336641E+01 , 
   2.03000 ,    -0.631204963923711E+01 ,     0.137590949447277E+00 ,    -0.122044400433620E+01 , 
   2.05000 ,    -0.620078834553709E+01 ,     0.161164347098223E+00 ,    -0.121485980629268E+01 , 
   2.07000 ,    -0.599784104568867E+01 ,     0.190001927086166E+00 ,    -0.120254057922999E+01 , 
   2.09000 ,    -0.571036302024178E+01 ,     0.220785443722338E+00 ,    -0.118383940443869E+01 , 
   2.11000 ,    -0.534674101426118E+01 ,     0.250242383247175E+00 ,    -0.115915796040308E+01 , 
   2.13000 ,    -0.491639858014621E+01 ,     0.275221890766749E+00 ,    -0.112893640379494E+01 , 
   2.15000 ,    -0.442958659134470E+01 ,     0.292766212364994E+00 ,    -0.109364346222574E+01 , 
   2.17000 ,    -0.389716348203241E+01 ,     0.300176176665325E+00 ,    -0.105376694576404E+01 , 
   2.19000 ,    -0.333036989208529E+01 ,     0.295069402359324E+00 ,    -0.100980486035587E+01 , 
   2.21000 ,    -0.274060241899536E+01 ,     0.275430106666664E+00 ,    -0.962257278965953E+00 , 
   2.23000 ,    -0.213919109971724E+01 ,     0.239649599640587E+00 ,    -0.911619096316401E+00 , 
   2.25000 ,    -0.153718506897243E+01 ,     0.186556775566810E+00 ,    -0.858373761407930E+00 , 
   2.27000 ,    -0.945150571626426E+00 ,     0.115438150004375E+00 ,    -0.802988049456886E+00 , 
   2.29000 ,    -0.372985152736320E+00 ,     0.260472337007620E-01 ,    -0.745907902356890E+00 , 
   2.31000 ,     0.170248581089135E+00 ,    -0.813967229389430E-01 ,    -0.687555335135666E+00 , 
   2.33000 ,     0.676442466211366E+00 ,    -0.206213685508354E+00 ,    -0.628329353032148E+00 , 
   2.35000 ,     0.113866114320417E+01 ,    -0.347310169910770E+00 ,    -0.568592973267536E+00 , 
   2.37000 ,     0.155112062084969E+01 ,    -0.503188611187974E+00 ,    -0.508684836336485E+00 , 
   2.39000 ,     0.190919647718246E+01 ,    -0.671946531955003E+00 ,    -0.448931949341428E+00 , 
   2.41000 ,     0.220968208217554E+01 ,    -0.851410631539040E+00 ,    -0.389617889407738E+00 , 
   2.43000 ,     0.245062627451688E+01 ,    -0.103912783104204E+01 ,    -0.331008563950962E+00 , 
   2.45000 ,     0.263135798258637E+01 ,    -0.123243696259035E+01 ,    -0.273348387431371E+00 , 
   2.47000 ,     0.275244088179651E+01 ,    -0.142852890944452E+01 ,    -0.216862687575900E+00 , 
   2.49000 ,     0.281560373281565E+01 ,    -0.162450865509544E+01 ,    -0.161760210681026E+00 , 
   2.51000 ,     0.282364871031240E+01 ,    -0.181745781558778E+01 ,    -0.108235589014981E+00 , 
   2.53000 ,     0.278034045183436E+01 ,    -0.200449625468753E+01 ,    -0.564716434233804E-01 , 
   2.55000 ,     0.269027890498052E+01 ,    -0.218284143852465E+01 ,    -0.664140798438461E-02 , 
   2.57000 ,     0.255875932170368E+01 ,    -0.234986427295607E+01 ,     0.410902195560940E-01 , 
   2.59000 ,     0.239162293687146E+01 ,    -0.250314028040746E+01 ,     0.865652784023491E-01 , 
   2.61000 ,     0.219510197159654E+01 ,    -0.264049511007820E+01 ,     0.129632051875326E+00 , 
   2.63000 ,     0.197566261981789E+01 ,    -0.276004353234968E+01 ,     0.170144914073234E+00 , 
   2.65000 ,     0.173984961067319E+01 ,    -0.286022124084234E+01 ,     0.207964725921197E+00 , 
   2.67000 ,     0.149413579277482E+01 ,    -0.293980896935651E+01 ,     0.242959767663460E+00 , 
   2.69000 ,     0.124477996483109E+01 ,    -0.299794862126346E+01 ,     0.275007172910836E+00 , 
   2.71000 ,     0.997695887041641E+00 ,    -0.303415130108941E+01 ,     0.303994808968445E+00 , 
   2.73000 ,     0.758335057707862E+00 ,    -0.304829732741539E+01 ,     0.329823529930651E+00 , 
   2.75000 ,     0.531585439141474E+00 ,    -0.304062848833099E+01 ,     0.352409713465919E+00 , 
   2.77000 ,     0.321687876821469E+00 ,    -0.301173297133704E+01 ,     0.371687979762723E+00 , 
   2.79000 ,     0.132180404030258E+00 ,    -0.296252650426743E+01 ,     0.387613270061385E+00 , 
   2.81000 ,    -0.341834933021237E-01 ,    -0.289421365593448E+01 ,     0.400166609962059E+00 , 
   2.83000 ,    -0.175402608215185E+00 ,    -0.280826969338919E+01 ,     0.409352914829685E+00 , 
   2.85000 ,    -0.290272043473280E+00 ,    -0.270639445351735E+01 ,     0.415206653039709E+00 , 
   2.87000 ,    -0.378358894118199E+00 ,    -0.259047381648793E+01 ,     0.417792888601569E+00 , 
   2.89000 ,    -0.439969799581208E+00 ,    -0.246253700845452E+01 ,     0.417208719492238E+00 , 
   2.91000 ,    -0.476101835936042E+00 ,    -0.232471274619447E+01 ,     0.413584144852176E+00 , 
   2.93000 ,    -0.488378581151315E+00 ,    -0.217918526258157E+01 ,     0.407082290238715E+00 , 
   2.95000 ,    -0.478973482496071E+00 ,    -0.202815121452308E+01 ,     0.397898938140177E+00 , 
   2.97000 ,    -0.450522891521027E+00 ,    -0.187377841441837E+01 ,     0.386261330774674E+00 , 
   2.99000 ,    -0.406031304134614E+00 ,    -0.171816724451760E+01 ,     0.372426233241815E+00 , 
   3.01000 ,    -0.348771448727439E+00 ,    -0.156331551345599E+01 ,     0.356677266744117E+00 , 
   3.03000 ,    -0.282181903263117E+00 ,    -0.141108739879665E+01 ,     0.339321543213653E+00 , 
   3.05000 ,    -0.209764893605620E+00 ,    -0.126318699202275E+01 ,     0.320685653639137E+00 , 
   3.07000 ,    -0.134986832559728E+00 ,    -0.112113682669338E+01 ,     0.301111082081238E+00 , 
   3.09000 ,    -0.611840061427337E-01 ,    -0.986261630145794E+00 ,     0.280949135220488E+00 , 
   3.11000 ,     0.852439415513813E-02 ,    -0.859677397945087E+00 ,     0.260555492788024E+00 , 
   3.13000 ,     0.713139503434949E-01 ,    -0.742285751926955E+00 ,     0.240284496938465E+00 , 
   3.15000 ,     0.124721761944313E+00 ,    -0.634773410656002E+00 ,     0.220483308170761E+00 , 
   3.17000 ,     0.166700937607495E+00 ,    -0.537616478680727E+00 ,     0.201486061511500E+00 , 
   3.19000 ,     0.195661868797261E+00 ,    -0.451089151017160E+00 ,     0.183608159167742E+00 , 
