 Q (1/Ang),S-S  ,S-F  ,F-F  
   0.71000 ,    -0.146497580887654E+02 ,    -0.168776265777078E+01 ,    -0.163209676821229E+01 , 
   0.73000 ,    -0.124248817764783E+02 ,    -0.911950549421127E+00 ,    -0.148126134622560E+01 , 
   0.75000 ,    -0.841241279407257E+01 ,     0.198437951807084E+00 ,    -0.118814264806777E+01 , 
   0.77000 ,    -0.393501333778732E+01 ,     0.127708032564757E+01 ,    -0.848368617675020E+00 , 
   0.79000 ,    -0.444224210179296E+00 ,     0.197530588375131E+01 ,    -0.571432513166964E+00 , 
   0.81000 ,     0.943327288288417E+00 ,     0.207335254570401E+01 ,    -0.445700071296285E+00 , 
   0.83000 ,    -0.201575574523055E+00 ,     0.154856045279965E+01 ,    -0.510387056163091E+00 , 
   0.85000 ,    -0.348907332576059E+01 ,     0.579825955515730E+00 ,    -0.743257446667267E+00 , 
   0.87000 ,    -0.783913683932202E+01 ,    -0.512044639393300E+00 ,    -0.106784934506325E+01 , 
   0.89000 ,    -0.118291707121548E+02 ,    -0.136839240276867E+01 ,    -0.137792758370919E+01 , 
   0.91000 ,    -0.141502116729890E+02 ,    -0.170788031519528E+01 ,    -0.157147264348506E+01 , 
   0.93000 ,    -0.140277717280739E+02 ,    -0.141641494828432E+01 ,    -0.158350806329143E+01 , 
   0.95000 ,    -0.114742896334103E+02 ,    -0.583682553148467E+00 ,    -0.140737817590922E+01 , 
   0.97000 ,    -0.729246750385972E+01 ,     0.524972835809768E+00 ,    -0.109763440658813E+01 , 
   0.99000 ,    -0.282640827016441E+01 ,     0.155240354968533E+01 ,    -0.753395932592064E+00 , 
   1.01000 ,     0.463451691744919E+00 ,     0.216301387969382E+01 ,    -0.487171545917880E+00 , 
   1.03000 ,     0.146952411581819E+01 ,     0.215024600770558E+01 ,    -0.388773973883879E+00 , 
   1.05000 ,    -0.197335692135360E+00 ,     0.150458091134879E+01 ,    -0.495670001283656E+00 , 
   1.07000 ,    -0.406343127650520E+01 ,     0.420492309982638E+00 ,    -0.779317681032596E+00 , 
   1.09000 ,    -0.891959701061772E+01 ,    -0.760561124725281E+00 ,    -0.115224247352110E+01 , 
   1.11000 ,    -0.131870621171076E+02 ,    -0.165443801642598E+01 ,    -0.149422426164672E+01 , 
   1.13000 ,    -0.154133774818832E+02 ,    -0.195462436986580E+01 ,    -0.168994131049515E+01 , 
   1.15000 ,    -0.147466947263299E+02 ,    -0.153198455013036E+01 ,    -0.166660547869317E+01 , 
   1.17000 ,    -0.112390660086475E+02 ,    -0.483018716071224E+00 ,    -0.141974431318633E+01 , 
   1.19000 ,    -0.587760527543424E+01 ,     0.889424160093993E+00 ,    -0.101853769967211E+01 , 
   1.21000 ,    -0.322598355174068E+00 ,     0.215926573018266E+01 ,    -0.588099030051886E+00 , 
   1.23000 ,     0.357963185658403E+01 ,     0.290156780660594E+01 ,    -0.273058201323580E+00 , 
   1.25000 ,     0.437062546458683E+01 ,     0.282306786618504E+01 ,    -0.192677423929247E+00 , 
   1.27000 ,     0.147087575849537E+01 ,     0.186126512274955E+01 ,    -0.400716877632124E+00 , 
   1.29000 ,    -0.456291420013314E+01 ,     0.222600563803515E+00 ,    -0.862398169452666E+00 , 
   1.31000 ,    -0.121017450399808E+02 ,    -0.165320039454071E+01 ,    -0.145625000817393E+01 , 
