Flight time (us) , Experiment , Calculated
   6988.14100000000       ,    1.28620000000000       ,    1.28648961468432     
   6993.73400000000       ,    1.28650000000000       ,    1.28639161601994     
   6999.32800000000       ,    1.28690000000000       ,    1.28674819479231     
   7004.93800000000       ,    1.28720000000000       ,    1.28710249990418     
   7010.54700000000       ,    1.28750000000000       ,    1.28745048601058     
   7016.15600000000       ,    1.28780000000000       ,    1.28778982840725     
   7021.76600000000       ,    1.28820000000000       ,    1.28811862489957     
   7027.37500000000       ,    1.28850000000000       ,    1.28843515929297     
   7033.00000000000       ,    1.28870000000000       ,    1.28873906085622     
   7038.62500000000       ,    1.28900000000000       ,    1.28902838112426     
   7044.25000000000       ,    1.28930000000000       ,    1.28930232610792     
   7049.89100000000       ,    1.28950000000000       ,    1.28956100503244     
   7055.54700000000       ,    1.28980000000000       ,    1.28980382560981     
   7061.18700000000       ,    1.29000000000000       ,    1.29002916092593     
   7066.82800000000       ,    1.29020000000000       ,    1.29023764779957     
   7072.48400000000       ,    1.29040000000000       ,    1.29042975847039     
   7078.14100000000       ,    1.29060000000000       ,    1.29060512643005     
   7083.79700000000       ,    1.29070000000000       ,    1.29076407754829     
   7089.46900000000       ,    1.29090000000000       ,    1.29090777380221     
   7095.14000000000       ,    1.29100000000000       ,    1.29103748495759     
   7100.81200000000       ,    1.29110000000000       ,    1.29115820468649     
   7106.50000000000       ,    1.29120000000000       ,    1.29128414854160     
   7112.18700000000       ,    1.29140000000000       ,    1.29144843382217     
   7117.87500000000       ,    1.29160000000000       ,    1.29171368663359     
   7123.56200000000       ,    1.29190000000000       ,    1.29216132614989     
   7129.26600000000       ,    1.29250000000000       ,    1.29284431334072     
   7134.96900000000       ,    1.29320000000000       ,    1.29370367826924     
   7140.67200000000       ,    1.29380000000000       ,    1.29451928897433     
   7146.39000000000       ,    1.29410000000000       ,    1.29499483993143     
   7152.10900000000       ,    1.29410000000000       ,    1.29496967534130     
   7157.82800000000       ,    1.29370000000000       ,    1.29452103326150     
   7163.56200000000       ,    1.29320000000000       ,    1.29385777006709     
   7169.29700000000       ,    1.29260000000000       ,    1.29317661726022     
   7175.03100000000       ,    1.29220000000000       ,    1.29258249065786     
   7180.76600000000       ,    1.29180000000000       ,    1.29209522900856     
   7186.50000000000       ,    1.29140000000000       ,    1.29169219997199     
   7192.25000000000       ,    1.29110000000000       ,    1.29134192487372     
   7198.00000000000       ,    1.29080000000000       ,    1.29102234167057     
   7203.76500000000       ,    1.29060000000000       ,    1.29071852952186     
   7209.53100000000       ,    1.29030000000000       ,    1.29042344086529     
   7215.29700000000       ,    1.29000000000000       ,    1.29013292104372     
   7221.07800000000       ,    1.28970000000000       ,    1.28984432914617     
   7226.86000000000       ,    1.28940000000000       ,    1.28955915689387     
   7232.64100000000       ,    1.28920000000000       ,    1.28928291730763     
   7238.42200000000       ,    1.28890000000000       ,    1.28902802088483     
   7244.20300000000       ,    1.28860000000000       ,    1.28882274107513     
   7250.00000000000       ,    1.28830000000000       ,    1.28866145424138     
   7255.81300000000       ,    1.28800000000000       ,    1.28854634554984     
   7261.61000000000       ,    1.28770000000000       ,    1.28843256128231     
   7267.40600000000       ,    1.28730000000000       ,    1.28824776121112     
   7273.23400000000       ,    1.28700000000000       ,    1.28794148909366     
   7279.06200000000       ,    1.28670000000000       ,    1.28752192074627     
   7284.87500000000       ,    1.28630000000000       ,    1.28703730301701     
   7290.70300000000       ,    1.28600000000000       ,    1.28653463152170     
   7296.53100000000       ,    1.28560000000000       ,    1.28604509786975     
   7302.36000000000       ,    1.28520000000000       ,    1.28557706357089     
   7308.20300000000       ,    1.28490000000000       ,    1.28512569929047     
   7314.06300000000       ,    1.28450000000000       ,    1.28468374081226     
   7319.92200000000       ,    1.28410000000000       ,    1.28424669139350     
   7325.76600000000       ,    1.28370000000000       ,    1.28381188981302     
   7331.62500000000       ,    1.28330000000000       ,    1.28337502364651     
   7337.50000000000       ,    1.28280000000000       ,    1.28293488130361     
   7343.37500000000       ,    1.28240000000000       ,    1.28249199308853     
   7349.23500000000       ,    1.28200000000000       ,    1.28204709819973     
   7355.10900000000       ,    1.28160000000000       ,    1.28159773041013     
   7361.00000000000       ,    1.28110000000000       ,    1.28114346151687     
   7366.89000000000       ,    1.28070000000000       ,    1.28068556741716     
   7372.78100000000       ,    1.28030000000000       ,    1.28022384410939     
   7378.67200000000       ,    1.27980000000000       ,    1.27975837102202     
   7384.57800000000       ,    1.27940000000000       ,    1.27928797952911     
   7390.48400000000       ,    1.27890000000000       ,    1.27881391687005     
   7396.40600000000       ,    1.27840000000000       ,    1.27833498396373     
   7402.32800000000       ,    1.27800000000000       ,    1.27785257201775     
   7408.25000000000       ,    1.27750000000000       ,    1.27736682307408     
   7414.17200000000       ,    1.27700000000000       ,    1.27687788700772     
   7420.09400000000       ,    1.27650000000000       ,    1.27638593199638     
   7426.03100000000       ,    1.27600000000000       ,    1.27588988135636     
   7431.96900000000       ,    1.27550000000000       ,    1.27539108928867     
   7437.92200000000       ,    1.27500000000000       ,    1.27488856434371     
   7443.87500000000       ,    1.27450000000000       ,    1.27438378792937     
   7449.82800000000       ,    1.27400000000000       ,    1.27387697373895     
   7455.79700000000       ,    1.27350000000000       ,    1.27336703735540     
   7461.76600000000       ,    1.27300000000000       ,    1.27285552628431     
   7467.73400000000       ,    1.27250000000000       ,    1.27234283617479     
   7473.70300000000       ,    1.27200000000000       ,    1.27182912259774     
   7479.67200000000       ,    1.27150000000000       ,    1.27131489931725     
