 Q (1/Ang),S-S  ,S-F  ,F-F  
   1.91000 ,    -0.565942235345897E+01 ,     0.213827304099106E+00 ,    -0.108282397462957E+01 , 
   1.93000 ,    -0.624347807810971E+01 ,     0.159604175744795E+00 ,    -0.112504359701440E+01 , 
   1.95000 ,    -0.671346449226850E+01 ,     0.127561670212368E+00 ,    -0.115925400953133E+01 , 
   1.97000 ,    -0.706495884529491E+01 ,     0.115330033693404E+00 ,    -0.118519909585710E+01 , 
   1.99000 ,    -0.729568259123071E+01 ,     0.120133163447576E+00 ,    -0.120275019499351E+01 , 
   2.01000 ,    -0.740549544408230E+01 ,     0.138864946025339E+00 ,    -0.121190208653043E+01 , 
   2.03000 ,    -0.739636010715903E+01 ,     0.168171620240336E+00 ,    -0.121276774166320E+01 , 
   2.05000 ,    -0.727225416968474E+01 ,     0.204537463227156E+00 ,    -0.120557014520033E+01 , 
   2.07000 ,    -0.703905277439946E+01 ,     0.244372127561147E+00 ,    -0.119063304862525E+01 , 
   2.09000 ,    -0.670437541193353E+01 ,     0.284097649873901E+00 ,    -0.116837020273074E+01 , 
   2.11000 ,    -0.627740217490258E+01 ,     0.320233183999153E+00 ,    -0.113927348710788E+01 , 
   2.13000 ,    -0.576866364234637E+01 ,     0.349475619638008E+00 ,    -0.110390023599790E+01 , 
   2.15000 ,    -0.518980905626460E+01 ,     0.368774375957112E+00 ,    -0.106286006541826E+01 , 
   2.17000 ,    -0.455335783875934E+01 ,     0.375398824190345E+00 ,    -0.101680150456978E+01 , 
   2.19000 ,    -0.387243138896278E+01 ,     0.366996790719317E+00 ,    -0.966398097411349E+00 , 
   2.21000 ,    -0.316052065502057E+01 ,     0.341643996291635E+00 ,    -0.912337982030125E+00 , 
   2.23000 ,    -0.243117048649298E+01 ,     0.297881587425039E+00 ,    -0.855307960037330E+00 , 
   2.25000 ,    -0.169775253334713E+01 ,     0.234743204531424E+00 ,    -0.795984592208258E+00 , 
   2.27000 ,    -0.973204555112343E+00 ,     0.151769922249622E+00 ,    -0.735023111471105E+00 , 
   2.29000 ,    -0.269796595962248E+00 ,     0.490136220056882E-01 ,    -0.673048425053532E+00 , 
   2.31000 ,     0.401084856589442E+00 ,    -0.729713252185954E-01 ,    -0.610647325510165E+00 , 
   2.33000 ,     0.102909986131085E+01 ,    -0.213140439975185E+00 ,    -0.548365112940574E+00 , 
   2.35000 ,     0.160523673902132E+01 ,    -0.370016568235735E+00 ,    -0.486688920069060E+00 , 
   2.37000 ,     0.212181304049218E+01 ,    -0.541706317770400E+00 ,    -0.426056416018608E+00 , 
   2.39000 ,     0.257251281390846E+01 ,    -0.725908935360009E+00 ,    -0.366864429680019E+00 , 
   2.41000 ,     0.295270144338720E+01 ,    -0.920055325522759E+00 ,    -0.309439290763857E+00 , 
