r (Ang), PDF (RMC), PDF (Expt)
  1.000000000000000E-002  ,   0.000000000000000E+000  ,   3.775072036425698E-007
  2.000000000000000E-002  ,   0.000000000000000E+000  ,   7.550144072851397E-007
  3.000000000000000E-002  ,   0.000000000000000E+000  ,   1.132521610927710E-006
  4.000000000000000E-002  ,   0.000000000000000E+000  ,   1.510028814570279E-006
  5.000000000000000E-002  ,   0.000000000000000E+000  ,   1.887536018212850E-006
  6.000000000000000E-002  ,   0.000000000000000E+000  ,   2.265043221855419E-006
  7.000000000000001E-002  ,   0.000000000000000E+000  ,   2.642550425497989E-006
  8.000000000000000E-002  ,   0.000000000000000E+000  ,   3.020057629140559E-006
  9.000000000000000E-002  ,   0.000000000000000E+000  ,   3.397564832783129E-006
  0.100000000000000       ,   0.000000000000000E+000  ,   3.775072036425699E-006
  0.110000000000000       ,   0.000000000000000E+000  ,   4.152579240068268E-006
  0.120000000000000       ,   0.000000000000000E+000  ,   4.530086443710839E-006
  0.130000000000000       ,   0.000000000000000E+000  ,   4.907593647353408E-006
  0.140000000000000       ,   0.000000000000000E+000  ,   5.285100850995979E-006
  0.150000000000000       ,   0.000000000000000E+000  ,   5.662608054638548E-006
  0.160000000000000       ,   0.000000000000000E+000  ,   6.040115258281118E-006
  0.170000000000000       ,   0.000000000000000E+000  ,   6.417622461923688E-006
  0.180000000000000       ,   0.000000000000000E+000  ,   6.795129665566258E-006
  0.190000000000000       ,   0.000000000000000E+000  ,   7.172636869208827E-006
  0.200000000000000       ,   0.000000000000000E+000  ,   7.550144072851398E-006
  0.210000000000000       ,   0.000000000000000E+000  ,   7.927651276493966E-006
  0.220000000000000       ,   0.000000000000000E+000  ,   8.305158480136536E-006
  0.230000000000000       ,   0.000000000000000E+000  ,   8.682665683779107E-006
  0.240000000000000       ,   0.000000000000000E+000  ,   9.060172887421677E-006
  0.250000000000000       ,   0.000000000000000E+000  ,   9.437680091064246E-006
  0.260000000000000       ,   0.000000000000000E+000  ,   9.815187294706816E-006
  0.270000000000000       ,   0.000000000000000E+000  ,   1.019269449834938E-005
  0.280000000000000       ,   0.000000000000000E+000  ,   1.057020170199196E-005
  0.290000000000000       ,   0.000000000000000E+000  ,   1.094770890563453E-005
  0.300000000000000       ,   0.000000000000000E+000  ,   1.132521610927710E-005
  0.310000000000000       ,   0.000000000000000E+000  ,   1.170272331291966E-005
  0.320000000000000       ,   0.000000000000000E+000  ,   1.208023051656224E-005
  0.330000000000000       ,   0.000000000000000E+000  ,   1.245773772020481E-005
  0.340000000000000       ,   0.000000000000000E+000  ,   1.283524492384738E-005
  0.350000000000000       ,   0.000000000000000E+000  ,   1.321275212748995E-005
  0.360000000000000       ,   0.000000000000000E+000  ,   1.359025933113252E-005
  0.370000000000000       ,   0.000000000000000E+000  ,   1.396776653477509E-005
  0.380000000000000       ,   0.000000000000000E+000  ,   1.434527373841765E-005
  0.390000000000000       ,   0.000000000000000E+000  ,   1.472278094206023E-005
  0.400000000000000       ,   0.000000000000000E+000  ,   1.510028814570280E-005
  0.410000000000000       ,   0.000000000000000E+000  ,   1.547779534934537E-005
  0.420000000000000       ,   0.000000000000000E+000  ,   1.585530255298793E-005
  0.430000000000000       ,   0.000000000000000E+000  ,   1.623280975663050E-005
  0.440000000000000       ,   0.000000000000000E+000  ,   1.661031696027307E-005
  0.450000000000000       ,   0.000000000000000E+000  ,   1.698782416391564E-005
  0.460000000000000       ,   0.000000000000000E+000  ,   1.736533136755821E-005
  0.470000000000000       ,   0.000000000000000E+000  ,   1.774283857120078E-005
  0.480000000000000       ,   0.000000000000000E+000  ,   1.812034577484335E-005
  0.490000000000000       ,   0.000000000000000E+000  ,   1.849785297848592E-005
  0.500000000000000       ,   0.000000000000000E+000  ,   1.887536018212849E-005
  0.510000000000000       ,   0.000000000000000E+000  ,   1.925286738577106E-005
  0.520000000000000       ,   0.000000000000000E+000  ,   1.963037458941363E-005
  0.530000000000000       ,   0.000000000000000E+000  ,   2.000788179305621E-005
  0.540000000000000       ,   0.000000000000000E+000  ,   2.038538899669877E-005
  0.550000000000000       ,   0.000000000000000E+000  ,   2.076289620034134E-005
  0.560000000000000       ,   0.000000000000000E+000  ,   2.114040340398391E-005
  0.570000000000000       ,   0.000000000000000E+000  ,   2.151791060762648E-005
  0.580000000000000       ,   0.000000000000000E+000  ,   2.189541781126905E-005
  0.590000000000000       ,   0.000000000000000E+000  ,   2.227292501491162E-005
  0.600000000000000       ,   0.000000000000000E+000  ,   2.265043221855419E-005
  0.610000000000000       ,   0.000000000000000E+000  ,   2.302793942219676E-005
  0.620000000000000       ,   0.000000000000000E+000  ,   2.340544662583933E-005
  0.630000000000000       ,   0.000000000000000E+000  ,   2.378295382948190E-005
  0.640000000000000       ,   0.000000000000000E+000  ,   2.416046103312447E-005
  0.650000000000000       ,   0.000000000000000E+000  ,   2.453796823676704E-005
  0.660000000000000       ,   0.000000000000000E+000  ,   2.491547544040961E-005
  0.670000000000000       ,   0.000000000000000E+000  ,   2.529298264405218E-005
  0.680000000000000       ,   0.000000000000000E+000  ,   2.567048984769475E-005
  0.690000000000000       ,   0.000000000000000E+000  ,   2.604799705133732E-005
  0.700000000000000       ,   0.000000000000000E+000  ,   2.642550425497989E-005
  0.710000000000000       ,   0.000000000000000E+000  ,   2.680301145862246E-005
  0.720000000000000       ,   0.000000000000000E+000  ,   2.718051866226503E-005
  0.730000000000000       ,   0.000000000000000E+000  ,   2.755802586590760E-005
  0.740000000000000       ,   0.000000000000000E+000  ,   2.793553306955017E-005
  0.750000000000000       ,   0.000000000000000E+000  ,   2.831304027319274E-005
  0.760000000000000       ,   0.000000000000000E+000  ,   2.869054747683531E-005
  0.770000000000000       ,   0.000000000000000E+000  ,   2.906805468047788E-005
  0.780000000000000       ,   0.000000000000000E+000  ,   2.944556188412045E-005
  0.790000000000000       ,   0.000000000000000E+000  ,   2.982306908776302E-005
  0.800000000000000       ,   0.000000000000000E+000  ,   3.020057629140559E-005
  0.810000000000000       ,   0.000000000000000E+000  ,   3.057808349504816E-005
  0.820000000000000       ,   0.000000000000000E+000  ,   3.095559069869073E-005
  0.830000000000000       ,   0.000000000000000E+000  ,   3.133309790233330E-005
  0.840000000000000       ,   0.000000000000000E+000  ,   3.171060510597586E-005
  0.850000000000000       ,   0.000000000000000E+000  ,   3.208811230961843E-005
  0.860000000000000       ,   0.000000000000000E+000  ,   3.246561951326101E-005
  0.870000000000000       ,   0.000000000000000E+000  ,   3.284312671690358E-005
  0.880000000000000       ,   0.000000000000000E+000  ,   3.322063392054615E-005
  0.890000000000000       ,   0.000000000000000E+000  ,   3.359814112418872E-005
  0.900000000000000       ,   0.000000000000000E+000  ,   3.397564832783129E-005
  0.910000000000000       ,   0.000000000000000E+000  ,   3.435315553147386E-005
  0.920000000000000       ,   0.000000000000000E+000  ,   3.473066273511643E-005
  0.930000000000000       ,   0.000000000000000E+000  ,   3.510816993875900E-005
  0.940000000000000       ,   0.000000000000000E+000  ,   3.548567714240157E-005
  0.950000000000000       ,   0.000000000000000E+000  ,   3.586318434604414E-005
  0.960000000000000       ,   0.000000000000000E+000  ,   3.624069154968671E-005
  0.970000000000000       ,   0.000000000000000E+000  ,   3.661819875332927E-005
  0.980000000000000       ,   0.000000000000000E+000  ,   3.699570595697184E-005
