  Q (1/Ang),       Ga-Ga,       Ga-P ,       Ga-O ,       P-P  ,       P-O  ,       O-O  
 14.9400000,  -0.1279351,   0.2358269,   0.1225880,  -0.1520030,  -0.0805339,  -0.0627299
 14.9600000,  -0.1675628,   0.1758012,   0.1156985,  -0.1912694,  -0.0803911,  -0.0560469
 14.9800000,  -0.2063174,   0.1176512,   0.1092491,  -0.2295377,  -0.0816398,  -0.0490684
 15.0000000,  -0.2436030,   0.0624383,   0.1032945,  -0.2661731,  -0.0842901,  -0.0419005
 15.0200000,  -0.2788333,   0.0111346,   0.0978726,  -0.3005510,  -0.0883232,  -0.0346446
 15.0400000,  -0.3114432,  -0.0353975,   0.0930046,  -0.3320706,  -0.0936920,  -0.0273955
 15.0600000,  -0.3409000,  -0.0764221,   0.0886956,  -0.3601665,  -0.1003229,  -0.0202392
 15.0800000,  -0.3667131,  -0.1113446,   0.0849353,  -0.3843208,  -0.1081174,  -0.0132518
 15.1000000,  -0.3884443,  -0.1397230,   0.0816997,  -0.4040739,  -0.1169544,  -0.0064980
 15.1200000,  -0.4057157,  -0.1612752,   0.0789526,  -0.4190339,  -0.1266937,  -0.0000303
 15.1400000,  -0.4182172,  -0.1758839,   0.0766471,  -0.4288844,  -0.1371782,   0.0061111
 15.1600000,  -0.4257124,  -0.1835966,   0.0747281,  -0.4333918,  -0.1482385,   0.0118987
 15.1800000,  -0.4280432,  -0.1846231,   0.0731342,  -0.4324096,  -0.1596956,   0.0173167
 15.2000000,  -0.4251326,  -0.1793282,   0.0717997,  -0.4258819,  -0.1713653,   0.0223613
 15.2200000,  -0.4169866,  -0.1682220,   0.0706570,  -0.4138445,  -0.1830618,   0.0270387
 15.2400000,  -0.4036937,  -0.1519465,   0.0696384,  -0.3964250,  -0.1946014,   0.0313644
 15.2600000,  -0.3854234,  -0.1312596,   0.0686783,  -0.3738398,  -0.2058063,   0.0353616
 15.2800000,  -0.3624234,  -0.1070161,   0.0677144,  -0.3463908,  -0.2165078,   0.0390595
 15.3000000,  -0.3350147,  -0.0801473,   0.0666899,  -0.3144595,  -0.2265494,   0.0424914
 15.3200000,  -0.3035863,  -0.0516385,   0.0655538,  -0.2785002,  -0.2357899,   0.0456933
 15.3400000,  -0.2685878,  -0.0225057,   0.0642625,  -0.2390313,  -0.2441051,   0.0487014
 15.3600000,  -0.2305218,   0.0062288,   0.0627802,  -0.1966262,  -0.2513905,   0.0515511
 15.3800000,  -0.1899347,   0.0335599,   0.0610791,  -0.1519025,  -0.2575620,   0.0542748
 15.4000000,  -0.1474077,   0.0585237,   0.0591393,  -0.1055109,  -0.2625571,   0.0569009
 15.4200000,  -0.1035462,   0.0802199,   0.0569487,  -0.0581239,  -0.2663355,   0.0594519
 15.4400000,  -0.0589699,   0.0978326,   0.0545021,  -0.0104234,  -0.2688786,   0.0619441
 15.4600000,  -0.0143022,   0.1106495,   0.0518006,   0.0369108,  -0.2701894,   0.0643865
 15.4800000,   0.0298404,   0.1180784,   0.0488508,   0.0832131,  -0.2702910,   0.0667803
 15.5000000,   0.0728577,   0.1196611,   0.0456629,   0.1278429,  -0.2692255,   0.0691188
 15.5200000,   0.1141765,   0.1150840,   0.0422502,   0.1701954,  -0.2670521,   0.0713877
 15.5400000,   0.1532588,   0.1041856,   0.0386273,   0.2097116,  -0.2638450,   0.0735654
 15.5600000,   0.1896104,   0.0869604,   0.0348091,   0.2458865,  -0.2596909,   0.0756238
 15.5800000,   0.2227885,   0.0635594,   0.0308090,   0.2782772,  -0.2546865,   0.0775291
 15.6000000,   0.2524078,   0.0342870,   0.0266383,   0.3065088,  -0.2489360,   0.0792432
