Q or theta , Experiment , Calculated
   2.0099999999999998       ,    720.00000000000000       ,    916.59784066841576     
   2.0299999999999998       ,    732.00000000000000       ,    917.41641516640198     
   2.0499999999999998       ,    748.00000000000000       ,    914.05432974732162     
   2.0699999999999998       ,    765.00000000000000       ,    911.52722247130623     
   2.0899999999999999       ,    787.00000000000000       ,    910.07218099999375     
   2.1099999999999999       ,    817.00000000000000       ,    910.03679618615843     
   2.1299999999999999       ,    872.00000000000000       ,    911.92532956674563     
   2.1499999999999999       ,    965.00000000000000       ,    916.53865233550778     
   2.1699999999999999       ,    1090.0000000000000       ,    925.16697976954208     
   2.1899999999999999       ,    1160.0000000000000       ,    940.27869320600860     
   2.2100000000000000       ,    1150.0000000000000       ,    969.44732336496384     
   2.2300000000000000       ,    1160.0000000000000       ,    1048.2628443618532     
   2.2500000000000000       ,    1390.0000000000000       ,    1320.8765319650768     
   2.2700000000000000       ,    2020.0000000000000       ,    2138.6686566019812     
   2.2900000000000000       ,    3690.0000000000000       ,    3820.0871841694452     
   2.3300000000000001       ,    6450.0000000000000       ,    6473.9658947146472     
   2.3500000000000001       ,    4880.0000000000000       ,    4974.6282843298568     
   2.3700000000000001       ,    2880.0000000000000       ,    2963.8250725673806     
   2.3900000000000001       ,    1720.0000000000000       ,    1701.4451780181203     
   2.4100000000000001       ,    1420.0000000000000       ,    1259.5105487140208     
   2.4300000000000002       ,    1480.0000000000000       ,    1350.9495118437808     
   2.4500000000000002       ,    2000.0000000000000       ,    1879.2847679335205     
   2.4700000000000002       ,    2970.0000000000000       ,    2683.8228110777409     
   2.5099999999999998       ,    2980.0000000000000       ,    2743.5309454684334     
   2.5299999999999998       ,    2030.0000000000000       ,    1905.3306599624784     
   2.5499999999999998       ,    1420.0000000000000       ,    1280.2279983196379     
   2.5699999999999998       ,    1190.0000000000000       ,    1000.0568776830401     
   2.5899999999999999       ,    1100.0000000000000       ,    922.27720343414080     
   2.6099999999999999       ,    1080.0000000000000       ,    942.83872283270341     
   2.6299999999999999       ,    1150.0000000000000       ,    1062.2822007153879     
   2.6499999999999999       ,    1370.0000000000000       ,    1291.0582371094347     
   2.6899999999999999       ,    1610.0000000000000       ,    1528.9990087059491     
   2.7100000000000000       ,    1350.0000000000000       ,    1323.7225202950053     
   2.7300000000000000       ,    1120.0000000000000       ,    1122.1385660531434     
   2.7500000000000000       ,    1050.0000000000000       ,    1034.5515894814459     
   2.7700000000000000       ,    1080.0000000000000       ,    1044.5719392235210     
   2.7900000000000000       ,    1170.0000000000000       ,    1114.3054690145889     
   2.8100000000000001       ,    1340.0000000000000       ,    1244.7449577233765     
   2.8300000000000001       ,    1710.0000000000000       ,    1536.3604453980338     
   2.8500000000000001       ,    2730.0000000000000       ,    2466.4600538151813     
   2.8700000000000001       ,    5140.0000000000000       ,    5459.2440622388740     
   2.8900000000000001       ,    11800.000000000000       ,    12544.265430239910     
   2.9100000000000001       ,    22700.000000000000       ,    23040.607315634181     
   2.9500000000000002       ,    25400.000000000000       ,    25508.058320710130     
   2.9700000000000002       ,    14200.000000000000       ,    15001.350259832792     
   2.9900000000000002       ,    6010.0000000000000       ,    6769.3537101251904     
   3.0099999999999998       ,    3060.0000000000000       ,    2905.0134619890423     
   3.0299999999999998       ,    1780.0000000000000       ,    1627.2074418574934     
   3.0499999999999998       ,    1330.0000000000000       ,    1235.3160278263517     
   3.0699999999999998       ,    1150.0000000000000       ,    1067.7692456102020     
   3.0899999999999999       ,    1060.0000000000000       ,    965.36519426962150     
   3.1099999999999999       ,    944.00000000000000       ,    893.62896026051067     
   3.1299999999999999       ,    829.00000000000000       ,    840.79054851963156     
   3.1499999999999999       ,    768.00000000000000       ,    800.56464104646795     
   3.1699999999999999       ,    767.00000000000000       ,    769.09189979231201     
