       Q,      F(Q)_RMC,  F(Q)_Expt
      3.1599998 ,      -0.7215300 ,      -0.6000766
      3.1799998 ,      -0.7603496 ,      -0.6220398
      3.1999998 ,      -0.7869960 ,      -0.6347316
      3.2199998 ,      -0.8013745 ,      -0.6382088
      3.2399998 ,      -0.8036549 ,      -0.6327294
      3.2599998 ,      -0.7942632 ,      -0.6187425
      3.2799998 ,      -0.7738675 ,      -0.5968740
      3.2999998 ,      -0.7433595 ,      -0.5679093
      3.3199998 ,      -0.7038317 ,      -0.5327726
      3.3399998 ,      -0.6565503 ,      -0.4925035
      3.3599998 ,      -0.6029251 ,      -0.4482313
      3.3799998 ,      -0.5444765 ,      -0.4011482
      3.3999998 ,      -0.4828002 ,      -0.3524812
      3.4199998 ,      -0.4195311 ,      -0.3034629
      3.4399998 ,      -0.3563059 ,      -0.2553039
      3.4599998 ,      -0.2947263 ,      -0.2091646
      3.4799998 ,      -0.2363233 ,      -0.1661291
      3.4999998 ,      -0.1825221 ,      -0.1271808
      3.5199998 ,      -0.1346112 ,      -0.0931805
      3.5399998 ,      -0.0937121 ,      -0.0648472
      3.5599998 ,      -0.0607553 ,      -0.0427423
      3.5799998 ,      -0.0364582 ,      -0.0272574
      3.5999998 ,      -0.0213091 ,      -0.0186060
      3.6199998 ,      -0.0155558 ,      -0.0168188
      3.6399998 ,      -0.0191988 ,      -0.0217439
      3.6599998 ,      -0.0319915 ,      -0.0330505
      3.6799998 ,      -0.0534441 ,      -0.0502365
      3.6999998 ,      -0.0828343 ,      -0.0726406
      3.7199998 ,      -0.1192223 ,      -0.0994576
      3.7399998 ,      -0.1614715 ,      -0.1297565
      3.7599998 ,      -0.2082729 ,      -0.1625025
      3.7799998 ,      -0.2581745 ,      -0.1965805
      3.7999998 ,      -0.3096132 ,      -0.2308208
      3.8199998 ,      -0.3609497 ,      -0.2640261
      3.8399998 ,      -0.4105064 ,      -0.2949994
      3.8599998 ,      -0.4566047 ,      -0.3225716
      3.8799998 ,      -0.4976044 ,      -0.3456289
      3.8999998 ,      -0.5319415 ,      -0.3631393
      3.9199998 ,      -0.5581657 ,      -0.3741769
      3.9399998 ,      -0.5749747 ,      -0.3779443
      3.9599998 ,      -0.5812465 ,      -0.3737925
      3.9799998 ,      -0.5760675 ,      -0.3612370
      3.9999998 ,      -0.5587568 ,      -0.3399712
      4.0199998 ,      -0.5288852 ,      -0.3098753
      4.0399998 ,      -0.4862892 ,      -0.2710214
      4.0599998 ,      -0.4310788 ,      -0.2236742
      4.0799998 ,      -0.3636402 ,      -0.1682883
      4.0999998 ,      -0.2846317 ,      -0.1055000
      4.1199998 ,      -0.1949737 ,      -0.0361162
      4.1399998 ,      -0.0958335 ,       0.0389008
      4.1599998 ,       0.0113965 ,       0.1184526
      4.1799998 ,       0.1251250 ,       0.2013258
      4.1999998 ,       0.2435927 ,       0.2862170
      4.2199998 ,       0.3649079 ,       0.3717591
      4.2399998 ,       0.4870840 ,       0.4565495
      4.2599998 ,       0.6080808 ,       0.5391789
      4.2799998 ,       0.7258466 ,       0.6182605
      4.2999998 ,       0.8383609 ,       0.6924592
      4.3199998 ,       0.9436771 ,       0.7605192
      4.3399998 ,       1.0399639 ,       0.8212903
      4.3599998 ,       1.1255441 ,       0.8737524
      4.3799998 ,       1.1989308 ,       0.9170363
      4.3999998 ,       1.2588594 ,       0.9504425
      4.4199998 ,       1.3043155 ,       0.9734554
      4.4399998 ,       1.3345563 ,       0.9857542
      4.4599998 ,       1.3491276 ,       0.9872194
      4.4799998 ,       1.3478740 ,       0.9779350
      4.4999998 ,       1.3309421 ,       0.9581864
      4.5199998 ,       1.2987783 ,       0.9284538
      4.5399998 ,       1.2521190 ,       0.8894019
      4.5599998 ,       1.1919749 ,       0.8418649
      4.5799998 ,       1.1196091 ,       0.7868283
      4.5999998 ,       1.0365099 ,       0.7254078
      4.6199998 ,       0.9443587 ,       0.6588247
      4.6399998 ,       0.8449928 ,       0.5883799
      4.6599998 ,       0.7403658 ,       0.5154252
      4.6799998 ,       0.6325049 ,       0.4413349
      4.6999998 ,       0.5234668 ,       0.3674760
      4.7199998 ,       0.4152930 ,       0.2951794
      4.7399998 ,       0.3099654 ,       0.2257114
      4.7599998 ,       0.2093635 ,       0.1602473
      4.7799998 ,       0.1152238 ,       0.0998469
      4.7999998 ,       0.0291032 ,       0.0454329
      4.8199998 ,      -0.0476545 ,      -0.0022276
      4.8399998 ,      -0.1139459 ,      -0.0425383
      4.8599998 ,      -0.1689310 ,      -0.0750843
      4.8799998 ,      -0.2120486 ,      -0.0996393
      4.8999998 ,      -0.2430266 ,      -0.1161679
      4.9199998 ,      -0.2618850 ,      -0.1248240
      4.9399998 ,      -0.2689316 ,      -0.1259445
      4.9599998 ,      -0.2647522 ,      -0.1200393
      4.9799998 ,      -0.2501933 ,      -0.1077769
      4.9999998 ,      -0.2263393 ,      -0.0899671
      5.0199998 ,      -0.1944841 ,      -0.0675400
